gender,state,age,income,imp.challenge,imp.unlocks,imp.customize,imp.difficulty,imp.characters,imp.storyline,imp.mastery,imp.backstory,imp.dominate,imp.completion,imp.wealth,imp.fantasy,imp.items,imp.power,imp.offbeat,imp.collect,enj.excitement,enj.destruction,enj.others,enj.react,enj.duels,enj.strategy,enj.roleplay,enj.competition,enj.decisions,enj.common.goal,enj.planning,enj.immersion,enj.helping,enj.fast,enj.guns,enj.gore,enj.blow.up,freq.explore,freq.experiment,freq.study,freq.char.creation,freq.stats,freq.customize,freq.test.world,gg.game.presented,gg.maxprice,rank.WarriorGuild,rank.SeraphGuardians,rank.Evercrest,rank.DevilsGate,rank.Marksman,rank.QuestoftheTitan
nonbinary,TX,64,57000,4,1,2,7,7,7,6,6,1,3,3,5,4,4,3,1,3,2,2,2,1,4,2,1,5,2,3,5,1,2,2,1,2,1,2,6,2,3,4,3,Warrior Guild,39,5,1,2,6,4,3
female,NY,51,87000,5,3,3,5,6,7,5,7,1,4,5,7,7,6,2,5,3,2,4,3,2,3,7,1,4,2,4,7,2,3,3,2,3,4,1,4,3,5,3,2,Warrior Guild,63,5,1,3,6,4,2
male,WA,44,148000,2,6,2,1,7,6,5,7,4,7,5,7,6,5,5,7,4,2,2,3,1,4,7,3,6,3,5,4,4,5,1,3,3,1,5,5,4,6,4,4,Seraph Guardians,97,6,1,3,5,4,2
male,IN,60,63000,4,3,2,4,4,5,3,6,2,4,2,3,1,3,3,3,4,6,4,6,1,3,2,2,1,2,2,4,2,6,7,7,5,3,2,2,1,2,1,3,Seraph Guardians,53,3,2,4,1,6,5
female,VA,22,30000,4,6,3,5,4,5,3,5,4,7,2,6,5,5,2,5,3,2,6,2,4,4,5,3,4,5,6,6,7,3,3,1,1,4,4,5,3,1,3,3,Warrior Guild,35,4,2,1,5,6,3
male,CA,30,115000,7,3,5,7,7,7,7,7,4,3,4,5,4,3,5,3,6,2,6,4,5,7,4,5,7,5,7,5,4,5,1,2,3,5,2,7,6,3,5,7,Seraph Guardians,66,3,1,2,6,5,4
male,NJ,29,103000,5,6,3,5,3,3,4,5,3,6,3,6,5,6,2,7,5,5,3,4,2,3,5,5,3,2,4,6,3,3,5,6,6,2,2,3,3,4,2,1,Evercrest,79,2,1,6,3,5,4
female,WA,24,52000,2,6,5,2,5,5,1,7,4,3,4,4,3,4,3,4,6,5,2,7,4,2,5,5,1,4,4,6,2,5,3,4,4,4,3,3,3,6,5,4,Evercrest,48,3,2,5,4,6,1
female,FL,22,28000,4,7,1,1,2,3,4,3,3,3,2,5,2,3,1,6,2,4,1,3,4,4,2,5,2,2,6,3,2,4,3,4,4,1,1,1,2,2,2,1,Evercrest,26,2,1,6,5,3,4
male,VA,38,121000,5,5,3,6,5,5,5,7,3,5,7,5,6,5,5,5,3,3,1,4,1,4,6,2,5,3,6,4,3,2,4,3,2,3,3,5,5,7,3,4,Warrior Guild,60,5,1,4,6,3,2
male,TX,30,45000,2,2,3,3,2,2,5,3,1,2,3,5,4,4,1,2,6,2,3,4,3,4,4,1,5,1,6,2,1,4,2,4,1,2,3,5,3,4,4,2,Warrior Guild,52,4,1,5,2,3,6
male,CA,19,30000,2,2,1,2,4,3,2,4,5,3,3,5,5,4,5,1,5,4,6,7,7,1,3,6,1,7,1,4,6,7,6,4,4,3,3,1,3,4,2,4,Seraph Guardians,34,2,5,3,1,6,4
male,CA,20,27000,5,3,2,5,6,7,6,4,4,2,6,4,5,3,6,3,4,5,5,4,3,5,4,4,6,4,5,4,4,1,3,4,2,4,4,4,2,7,2,4,Evercrest,38,6,1,4,5,3,2
male,NY,30,69000,5,6,3,6,7,7,3,6,4,4,6,7,6,6,4,5,5,2,3,4,1,2,7,2,3,3,2,7,3,5,2,2,4,5,5,4,5,5,5,3,Evercrest,64,5,1,3,6,4,2
female,FL,23,37000,4,4,2,2,7,4,3,7,2,3,2,6,7,5,5,4,1,2,7,1,5,5,6,5,6,5,2,7,7,1,5,5,6,5,6,2,1,1,1,5,Warrior Guild,47,5,2,1,4,6,3
male,TX,29,87000,5,4,1,5,3,3,5,5,3,4,4,4,6,5,4,3,4,3,4,4,3,4,3,4,3,5,4,4,3,4,4,4,3,5,5,4,1,4,1,5,Seraph Guardians,71,3,1,2,4,5,6
female,CA,55,110000,4,6,4,7,6,5,5,5,2,5,5,7,5,4,5,4,2,3,4,1,1,4,6,1,5,4,6,4,4,3,4,3,3,6,6,4,5,3,6,7,Seraph Guardians,88,5,1,3,6,4,2
male,CO,29,62000,5,7,1,7,2,4,4,3,2,6,5,3,4,2,3,7,4,2,3,4,2,4,3,5,5,4,4,1,5,1,2,1,3,5,4,7,1,4,2,5,Evercrest,53,4,1,5,6,2,3
male,ME,29,92000,3,2,5,6,4,6,4,5,4,3,5,6,4,6,3,2,3,2,2,4,1,5,4,2,4,4,5,4,3,5,2,4,3,2,1,5,5,5,5,3,Warrior Guild,58,5,1,3,6,4,2
female,NY,18,10000,3,5,5,3,7,7,3,6,3,3,6,5,6,4,4,4,6,4,3,6,2,7,5,2,5,4,6,6,3,5,4,3,3,4,7,3,3,7,5,4,Seraph Guardians,30,6,1,3,5,4,2
female,CA,19,24000,6,3,5,7,4,7,7,6,7,1,3,4,7,4,5,4,5,2,7,5,7,6,5,6,5,4,5,5,2,4,3,2,2,4,5,4,5,3,5,5,Evercrest,42,1,2,3,4,6,5
male,VA,27,42000,5,1,1,7,2,1,4,2,3,4,5,6,5,7,5,1,7,1,5,6,3,3,5,3,5,4,4,5,3,7,1,1,1,5,5,7,1,4,3,4,Evercrest,46,2,1,3,5,4,6
male,TX,29,96000,7,4,3,7,3,3,4,4,6,4,4,7,5,6,5,5,5,3,3,5,5,3,6,5,4,5,4,7,5,5,3,4,3,7,4,4,4,2,1,7,Evercrest,79,2,1,4,5,6,3
male,CT,30,37000,3,6,2,2,5,3,6,3,2,7,3,2,5,4,1,7,3,3,1,4,2,4,4,1,4,2,3,3,1,5,4,3,3,1,1,5,4,1,1,1,Seraph Guardians,40,5,1,6,4,2,3
female,OH,19,28000,7,3,6,6,5,7,4,7,5,7,3,3,4,3,7,3,6,2,4,5,3,6,3,4,4,7,4,2,4,5,1,2,2,7,7,4,4,3,6,7,Warrior Guild,38,4,3,1,6,5,2
male,NM,18,11000,4,1,5,1,3,3,4,3,2,1,2,4,4,3,3,4,5,5,4,3,2,2,4,2,2,7,4,4,5,2,6,5,6,4,4,2,5,3,5,5,Seraph Guardians,26,2,4,1,3,6,5
male,FL,20,11000,7,2,4,7,7,6,6,6,4,5,1,4,5,3,7,3,4,3,3,2,5,3,4,5,3,4,2,4,3,4,3,3,2,4,3,5,5,1,3,6,Evercrest,26,3,1,2,6,5,4
male,TX,33,54000,4,7,3,5,1,3,3,3,3,6,4,3,3,3,1,6,2,5,3,3,4,2,2,3,2,1,1,3,2,4,3,5,5,2,1,2,3,3,4,1,Warrior Guild,45,5,1,6,4,3,2
female,IA,35,57000,3,5,6,5,5,6,5,4,4,6,5,7,4,5,6,3,3,3,3,4,3,2,4,3,4,3,6,7,4,4,2,2,3,4,3,3,4,4,7,5,Seraph Guardians,57,5,1,3,6,4,2
male,KY,24,54000,4,4,3,3,5,6,2,6,4,4,2,3,3,3,1,2,4,4,4,6,4,3,5,3,1,4,1,3,1,4,4,5,5,1,1,2,4,2,3,3,Warrior Guild,38,1,3,4,2,6,5
male,CA,24,49000,6,6,5,7,5,6,4,4,6,5,6,4,6,2,4,6,6,7,5,5,5,3,6,6,4,2,3,6,1,3,7,4,7,4,6,4,5,4,5,4,Evercrest,53,3,1,6,5,4,2
female,IL,25,55000,3,1,2,1,2,5,2,2,6,1,3,1,5,3,1,1,1,4,4,5,4,2,2,4,2,4,1,2,4,4,4,5,5,1,1,1,4,4,2,1,Evercrest,36,1,4,3,2,6,5
male,MD,28,79000,6,3,3,3,7,6,3,7,2,2,1,6,5,4,6,1,5,3,5,4,3,3,6,2,3,6,3,4,5,3,3,3,4,5,4,4,5,2,4,4,Warrior Guild,80,2,5,1,4,6,3
female,TX,54,124000,6,3,2,5,4,4,4,5,4,3,4,4,5,5,2,5,1,3,1,2,2,3,5,1,1,1,3,3,2,3,2,1,1,4,5,3,2,4,1,4,Seraph Guardians,75,5,1,3,6,4,2
male,CA,35,128000,5,6,4,3,5,7,3,6,3,4,7,6,7,6,5,4,4,2,2,6,1,2,5,1,4,2,3,5,3,4,2,1,1,4,3,4,7,6,6,4,Evercrest,94,5,2,3,6,4,1
female,GA,25,33000,4,2,7,4,7,5,6,7,5,4,7,6,7,6,6,5,2,1,5,3,4,3,6,4,5,3,3,5,1,4,1,2,1,6,4,4,6,6,5,4,Evercrest,34,5,2,3,6,4,1
male,MI,24,35000,3,4,2,4,5,5,4,4,7,3,4,1,2,4,2,3,6,6,4,6,7,3,3,7,5,4,3,5,4,4,6,6,5,4,1,4,1,3,2,3,Warrior Guild,58,2,3,4,1,5,6
male,NY,38,67000,4,3,2,5,6,5,5,5,4,4,6,5,5,5,3,2,6,4,3,4,1,4,5,1,3,4,4,6,4,5,2,1,1,3,5,4,3,6,5,3,Seraph Guardians,71,5,1,4,6,3,2
male,CA,27,78000,6,2,1,6,3,3,7,5,3,4,2,5,5,4,3,1,4,2,6,3,6,3,4,5,4,5,4,5,5,4,3,4,4,1,1,6,2,5,1,1,Seraph Guardians,64,1,2,5,3,4,6
female,IL,21,23000,3,1,3,4,2,4,5,2,5,1,4,2,2,2,4,2,7,2,5,6,7,4,3,6,2,6,2,2,4,6,5,3,3,3,6,3,4,4,4,5,Evercrest,24,1,6,4,2,3,5
female,CA,33,142000,2,1,3,1,5,5,4,5,2,2,3,3,6,3,5,3,3,7,5,3,1,3,5,2,3,6,4,4,4,3,4,6,6,6,5,4,3,1,4,5,Seraph Guardians,97,5,3,1,2,6,4
female,CO,21,39000,2,2,2,4,6,5,3,6,4,3,1,4,3,5,4,4,5,1,5,5,3,3,3,6,5,7,3,4,7,5,2,1,2,3,3,4,2,2,4,2,Seraph Guardians,36,1,4,3,2,6,5
male,NH,63,157000,6,6,2,5,7,7,6,7,2,7,4,4,7,3,4,6,2,2,3,3,2,4,6,1,4,3,2,5,4,4,2,3,5,3,5,4,5,7,4,4,Seraph Guardians,93,5,1,4,6,3,2
female,MI,25,39000,5,6,5,5,7,5,3,7,5,4,7,7,7,7,3,4,4,3,4,4,5,5,7,5,4,3,3,7,5,6,4,2,1,4,5,6,5,6,6,5,Seraph Guardians,71,5,1,3,6,4,2
male,TX,29,82000,7,6,4,5,6,5,7,4,2,5,6,4,4,5,7,5,4,3,6,7,2,5,4,2,6,6,6,5,7,6,5,3,5,7,7,7,4,5,3,7,Warrior Guild,57,4,1,2,5,3,6
female,VA,22,32000,2,1,2,3,7,6,1,5,3,1,5,1,3,2,5,3,7,7,1,5,5,4,3,4,3,3,5,2,2,6,7,7,7,4,6,2,2,5,1,5,Warrior Guild,45,3,2,5,1,6,4
female,LA,27,29000,5,2,4,4,7,7,4,7,5,3,3,5,5,7,2,4,2,3,5,4,5,4,5,4,3,4,3,5,7,3,1,3,2,7,4,4,4,1,3,4,Warrior Guild,32,4,2,1,5,6,3
male,KY,24,36000,2,3,6,3,2,3,1,3,7,2,5,1,1,4,1,3,5,5,7,4,7,1,1,7,1,5,1,2,5,5,5,7,6,2,1,1,5,1,5,3,Warrior Guild,46,1,6,3,2,5,4
male,SC,20,33000,6,3,6,7,3,5,5,3,4,3,4,4,3,5,7,4,4,3,3,6,6,5,4,5,4,3,4,5,4,4,3,3,4,7,4,6,6,1,5,6,Warrior Guild,41,2,1,3,5,6,4
male,NY,22,32000,3,3,1,5,3,5,5,4,5,1,4,2,5,4,7,4,6,5,6,5,5,5,4,3,2,5,4,4,3,4,3,4,4,7,6,5,1,5,1,7,Evercrest,37,5,1,4,2,6,3
male,NY,19,31000,4,4,3,5,4,3,3,1,4,4,5,4,4,4,3,6,6,1,5,6,4,5,3,6,3,5,5,6,5,4,2,1,1,3,2,1,3,6,4,2,Evercrest,42,2,1,5,3,4,6
male,CA,20,27000,5,3,4,5,5,7,6,5,6,2,5,4,5,6,5,3,6,5,3,6,4,4,4,4,4,3,4,4,3,6,4,3,5,5,5,2,3,5,5,5,Evercrest,40,3,1,5,4,6,2
female,TN,23,28000,6,6,1,7,3,1,7,2,2,7,4,1,1,2,3,7,5,2,2,2,2,6,2,3,5,5,7,2,4,3,3,2,4,6,4,6,2,3,1,4,Seraph Guardians,27,3,2,6,4,1,5
male,NC,19,23000,5,3,2,3,6,6,5,7,5,3,5,4,5,6,5,3,5,4,4,3,5,7,6,5,7,5,6,5,4,5,4,4,2,3,5,5,4,4,3,3,Warrior Guild,26,5,1,2,3,6,4
female,TX,31,56000,5,3,4,5,4,4,5,3,4,3,6,3,4,3,4,3,6,5,5,5,3,4,4,4,3,2,4,5,5,5,5,6,4,2,2,6,4,7,3,4,Evercrest,44,4,1,6,3,2,5
female,OH,31,48000,4,4,3,1,7,6,5,6,4,4,5,6,5,4,6,5,3,1,4,5,1,2,5,1,3,6,1,5,4,5,2,1,4,7,5,5,6,7,5,6,Warrior Guild,52,5,2,3,6,4,1
nonbinary,CA,37,90000,4,5,1,5,1,1,4,3,3,6,3,3,1,4,3,5,4,3,4,3,3,5,2,1,6,3,5,4,4,3,4,3,4,5,4,5,3,5,2,6,Warrior Guild,63,6,1,5,4,2,3
female,NY,55,101000,7,7,3,4,7,6,5,7,1,6,4,3,3,3,5,6,2,1,2,3,1,7,3,1,6,4,6,3,6,2,5,4,3,4,3,5,2,5,4,4,Evercrest,82,6,1,3,5,4,2
male,CA,19,8000,5,7,2,6,5,3,4,4,3,6,3,6,4,6,4,4,5,4,3,5,4,5,4,5,7,3,4,5,2,3,5,5,4,4,3,3,3,4,2,1,Seraph Guardians,42,6,1,5,4,3,2
female,TX,20,17000,2,2,4,2,3,4,3,5,4,2,4,4,5,3,2,1,6,6,4,6,7,4,3,7,3,4,3,3,3,7,6,7,5,4,1,2,2,2,4,3,Seraph Guardians,23,2,4,3,1,5,6
female,CA,36,101000,3,4,2,2,7,4,5,4,3,4,4,2,5,4,3,4,3,6,2,5,3,5,4,2,5,4,3,2,3,4,6,6,6,1,2,2,1,3,2,2,Warrior Guild,86,3,1,5,2,4,6
female,NY,35,100000,2,6,4,2,7,5,3,7,3,4,4,6,5,7,3,5,6,4,3,6,3,5,7,3,4,2,3,7,3,7,4,6,4,5,5,5,4,4,4,4,Seraph Guardians,69,5,2,3,4,6,1
female,OK,19,7000,2,3,3,1,5,6,2,6,1,2,1,4,3,4,4,2,2,3,6,6,5,1,6,3,3,6,1,4,6,5,3,3,1,3,5,2,4,1,4,5,Seraph Guardians,15,3,5,1,4,6,2
male,MA,23,62000,3,2,2,3,6,3,4,6,1,3,4,5,6,6,6,1,3,5,4,1,2,2,5,1,5,5,4,4,6,2,6,7,4,5,5,3,2,3,2,3,Evercrest,54,5,2,1,4,6,3
female,NY,23,44000,4,5,3,3,7,6,4,7,4,4,1,3,5,4,4,4,5,7,6,5,5,4,6,4,4,7,4,6,6,7,4,3,5,5,5,3,5,3,6,4,Seraph Guardians,54,3,4,2,1,6,5
female,FL,49,64000,6,6,5,6,5,7,5,5,2,6,6,7,4,6,3,6,5,1,5,3,1,4,5,1,4,4,4,5,4,4,2,1,3,4,4,5,4,6,5,5,Evercrest,64,5,1,3,6,4,2
male,AR,20,24000,3,2,3,1,4,4,5,4,2,4,3,4,4,3,1,2,4,2,5,4,5,7,3,4,7,5,7,3,6,4,2,2,1,4,1,5,3,3,3,3,Seraph Guardians,27,3,2,4,1,5,6
male,MA,18,18000,4,1,1,5,4,6,4,2,4,1,2,4,3,4,3,2,6,7,3,7,4,2,4,5,1,4,1,2,5,7,7,6,6,1,1,2,3,2,3,1,Evercrest,30,1,4,3,2,6,5
female,MD,28,101000,5,5,4,3,6,4,3,4,2,6,7,2,5,5,4,5,4,2,4,3,2,3,4,1,5,5,5,2,5,5,4,3,4,5,3,3,2,6,3,3,Evercrest,81,6,1,4,5,3,2
female,NV,27,51000,4,6,2,5,3,5,1,6,4,7,5,5,7,7,4,6,5,1,3,4,3,3,6,3,5,3,3,5,3,4,2,4,3,3,3,6,4,3,4,5,Evercrest,43,4,1,5,6,3,2
male,GA,24,38000,6,1,4,6,4,4,6,4,1,2,2,5,5,5,1,1,2,1,3,2,4,6,2,3,7,2,6,4,5,3,1,2,2,3,2,6,2,3,3,1,Seraph Guardians,34,2,1,3,4,5,6
female,WY,23,44000,6,2,4,5,5,6,7,7,7,2,3,3,3,2,1,1,7,5,3,7,6,7,3,5,6,4,7,1,2,5,3,3,4,2,1,6,1,4,4,1,Warrior Guild,48,3,2,5,1,4,6
nonbinary,MA,23,29000,7,7,1,7,6,5,7,5,2,7,3,3,4,3,5,5,6,1,4,4,2,5,2,3,5,4,5,1,3,4,2,2,4,4,4,5,2,3,2,6,Seraph Guardians,34,3,1,5,4,2,6
female,CA,20,24000,6,4,3,5,2,3,4,2,1,4,5,2,3,2,5,4,4,3,5,4,4,2,2,3,3,6,2,3,3,4,2,3,2,4,3,2,1,3,1,2,Evercrest,39,4,1,6,5,2,3
male,NM,27,55000,5,3,4,4,4,4,5,7,4,3,5,4,4,4,2,3,4,3,4,5,6,2,3,5,2,2,5,4,3,5,4,5,4,3,3,3,5,4,5,4,Seraph Guardians,50,2,1,3,5,6,4
female,TN,21,20000,4,3,2,7,3,4,4,4,4,3,2,6,4,5,3,5,6,4,3,7,3,6,4,5,6,4,5,4,3,6,4,3,4,3,4,6,2,5,3,4,Warrior Guild,34,2,1,5,3,4,6
male,MO,46,58000,2,5,5,6,7,4,6,2,2,3,6,2,3,6,6,4,3,4,2,2,3,5,5,2,3,3,5,5,5,1,4,4,4,4,3,5,5,4,6,3,Warrior Guild,43,5,1,3,6,4,2
female,NY,21,20000,5,5,5,6,4,3,3,4,4,7,5,3,2,4,6,6,3,6,3,3,4,2,5,3,4,2,2,2,4,4,6,6,7,5,5,1,4,4,5,3,Evercrest,25,3,1,6,4,5,2
female,CA,29,47000,1,4,6,1,5,7,3,5,5,4,2,4,5,5,3,6,3,3,7,3,3,2,6,3,3,5,3,6,5,3,4,3,2,1,1,3,5,3,7,1,Seraph Guardians,50,4,5,1,2,6,3
female,MI,20,23000,3,2,1,3,3,5,4,4,7,3,4,4,4,3,6,4,7,5,4,7,7,3,4,7,1,6,2,2,5,6,4,7,3,4,5,3,1,2,1,4,Warrior Guild,41,1,5,3,2,6,4
male,CA,32,91000,4,5,5,5,5,6,3,3,3,5,3,4,6,4,3,3,3,2,3,3,3,3,5,1,3,2,3,6,2,4,2,1,4,3,3,3,5,3,5,1,Warrior Guild,67,5,1,3,6,4,2
male,WI,19,16000,5,3,4,4,4,4,4,4,3,4,5,6,7,6,4,4,3,2,1,4,4,4,6,3,4,3,4,5,2,6,2,2,2,6,5,2,4,2,2,7,Evercrest,33,4,1,3,6,5,2
male,OK,25,32000,4,5,2,5,4,5,3,4,5,5,3,3,2,4,2,5,5,6,6,5,4,5,4,5,4,5,4,4,4,6,5,7,7,2,3,5,2,3,1,4,Seraph Guardians,29,2,3,6,1,4,5
female,OR,24,39000,1,1,1,2,6,7,2,7,4,3,1,7,7,7,1,2,3,7,5,3,5,2,4,5,2,3,2,5,4,6,5,5,7,2,1,1,3,3,5,1,Evercrest,46,3,2,4,1,6,5
female,CA,18,3000,5,3,5,5,7,7,6,7,5,3,3,6,5,6,7,3,6,2,5,7,7,7,6,7,7,5,6,4,4,6,3,2,4,7,7,7,4,3,3,7,Warrior Guild,33,3,2,1,4,6,5
female,NJ,23,55000,3,5,1,4,6,7,3,6,4,2,3,5,4,4,5,2,6,5,7,6,4,2,4,5,2,5,1,6,5,5,6,4,6,4,5,2,1,2,1,6,Seraph Guardians,49,1,4,3,2,6,5
female,CO,19,15000,7,4,2,6,3,4,7,4,5,2,4,4,4,5,2,4,7,3,4,7,4,6,3,4,7,4,6,4,4,7,1,3,2,2,3,7,3,6,2,2,Seraph Guardians,36,1,4,5,2,3,6
female,NY,39,71000,3,4,4,3,5,4,4,4,3,3,5,5,4,2,6,2,5,6,2,4,2,4,3,1,3,2,6,3,3,4,3,4,4,4,6,4,2,5,3,4,Evercrest,65,6,1,5,4,3,2
female,IL,20,12000,5,1,5,3,7,5,4,7,2,1,1,6,6,5,2,1,3,3,6,3,4,3,4,4,3,5,4,5,5,4,2,4,2,3,2,4,6,1,7,2,Evercrest,32,2,4,1,3,6,5
male,NY,27,47000,4,4,7,5,7,5,3,7,3,3,7,3,6,5,3,3,6,5,5,5,3,3,5,3,2,4,4,4,2,6,4,5,4,4,4,3,6,5,5,3,Evercrest,47,4,1,3,6,5,2
female,NJ,22,34000,7,6,5,6,7,7,7,7,5,5,5,6,5,6,3,3,7,2,5,6,5,6,6,4,7,5,7,6,5,7,1,4,1,4,6,5,5,4,6,5,Seraph Guardians,58,6,1,2,4,3,5
male,NM,40,76000,1,6,5,3,7,6,3,6,5,5,3,4,4,3,2,5,5,4,3,2,2,7,4,4,7,5,7,1,6,3,2,2,4,4,2,3,5,3,4,1,Seraph Guardians,64,6,1,3,4,5,2
male,TX,30,79000,7,5,1,7,3,4,7,3,3,6,4,2,5,3,2,6,1,1,3,1,3,5,3,4,5,1,7,2,4,1,4,4,1,1,2,5,1,3,1,2,Seraph Guardians,52,4,1,3,6,2,5
male,NY,18,32000,2,4,2,2,6,7,2,6,6,3,4,3,4,3,2,4,4,7,2,4,4,4,3,4,3,3,2,3,3,5,7,7,6,1,2,5,2,3,2,1,Evercrest,34,3,2,6,1,5,4
male,GA,18,14000,3,3,3,2,6,7,3,7,4,4,2,5,4,4,4,4,3,4,4,4,3,2,5,5,4,5,4,5,5,3,1,3,1,7,7,3,4,2,2,4,Warrior Guild,26,4,3,1,5,6,2
male,CA,22,28000,4,2,4,5,6,6,5,7,2,2,1,5,7,5,5,3,3,4,4,2,5,4,6,4,4,5,2,6,7,5,5,7,5,5,5,4,5,1,6,5,Warrior Guild,41,2,4,1,3,6,5
female,KY,18,11000,3,4,3,4,6,6,5,5,4,4,3,4,2,3,4,1,5,6,6,7,7,4,4,7,3,7,4,4,5,3,6,6,6,4,4,4,3,4,3,6,Seraph Guardians,27,2,3,4,1,6,5
male,WA,18,12000,2,3,4,4,7,7,5,7,5,3,3,6,5,5,3,3,2,1,6,3,3,2,6,3,4,5,3,5,7,2,1,2,2,3,2,1,2,1,5,3,Warrior Guild,30,2,3,1,4,6,5
female,AZ,27,47000,2,3,4,1,7,7,4,7,3,3,5,4,3,4,6,4,2,4,6,3,4,6,5,4,5,5,5,4,5,5,1,3,3,3,6,4,5,4,5,3,Evercrest,56,5,1,2,4,6,3
female,TX,24,68000,4,4,5,4,4,6,4,7,4,4,5,5,5,6,4,5,4,2,4,5,3,4,5,4,3,1,6,3,4,7,5,2,3,3,4,5,5,7,4,5,Seraph Guardians,64,4,1,5,6,3,2
male,ID,28,69000,4,4,2,3,3,5,2,5,1,7,4,2,3,4,1,7,3,3,1,4,3,1,2,4,2,3,3,1,3,4,4,4,4,2,2,1,5,3,3,3,Evercrest,45,4,1,6,5,3,2
nonbinary,PA,37,74000,6,5,4,6,7,5,4,7,3,5,6,7,7,7,6,6,2,4,1,1,1,5,7,1,2,2,4,7,4,3,4,5,4,6,7,6,4,5,6,6,Seraph Guardians,69,5,1,3,6,4,2
female,GA,31,32000,4,7,3,6,3,2,4,3,3,6,1,2,4,6,3,6,4,3,3,4,1,2,5,1,5,4,3,5,5,2,3,3,3,1,3,5,6,3,5,3,Seraph Guardians,39,5,1,4,6,2,3
male,SC,18,7000,7,3,5,7,7,7,7,7,5,4,6,6,6,4,6,2,5,3,5,4,4,7,3,6,7,4,4,5,5,5,4,3,2,3,4,5,4,4,5,4,Seraph Guardians,34,3,1,2,4,6,5
male,OH,31,88000,7,4,1,7,2,5,5,6,4,2,6,3,3,4,3,4,3,4,4,3,5,5,3,4,6,4,7,3,4,1,4,6,3,5,3,5,1,4,3,3,Evercrest,60,4,1,5,3,2,6
male,MO,30,45000,5,3,1,5,7,6,4,7,3,4,2,3,6,3,4,4,3,7,3,4,3,3,5,2,4,2,6,1,4,5,6,6,6,3,3,3,1,2,1,4,Seraph Guardians,39,3,1,4,2,5,6
female,KY,26,46000,5,3,4,4,4,3,3,1,3,5,6,4,2,1,3,4,2,5,4,3,4,1,4,2,1,5,2,2,5,2,5,5,3,2,3,3,5,5,3,4,Warrior Guild,49,3,1,5,6,4,2
male,MA,28,104000,4,5,2,2,3,4,6,2,2,5,4,3,5,3,3,4,5,1,7,6,1,3,1,4,6,6,3,2,7,6,1,3,3,3,4,5,2,6,2,2,Seraph Guardians,73,2,4,5,1,3,6
female,OR,39,70000,6,5,3,4,5,4,6,5,3,5,5,7,5,6,5,6,2,1,3,4,3,5,5,2,6,3,5,4,2,4,2,2,3,4,4,6,3,5,2,5,Warrior Guild,51,5,1,3,6,4,2
male,VA,23,75000,4,3,5,3,4,3,5,5,4,1,1,2,3,4,5,2,5,7,7,5,5,4,6,5,6,7,5,2,7,4,4,4,5,5,5,3,3,3,3,4,Seraph Guardians,47,2,4,3,1,5,6
female,FL,18,16000,2,4,3,3,5,6,4,5,4,4,3,4,3,4,2,4,6,3,4,7,4,2,3,4,2,3,4,2,5,7,3,5,3,5,3,3,4,3,4,4,Warrior Guild,22,1,5,3,2,6,4
male,NY,27,68000,5,4,2,3,7,6,5,7,5,7,3,4,7,5,4,4,5,2,3,5,3,7,6,5,5,5,7,6,4,5,3,4,4,4,5,6,1,2,3,5,Evercrest,70,5,1,3,2,6,4
male,OH,26,33000,4,5,2,2,7,7,2,7,2,7,2,7,6,5,4,6,3,1,2,3,2,3,6,4,3,1,3,6,2,6,1,2,1,4,3,3,5,3,5,6,Seraph Guardians,42,5,2,3,6,4,1
female,FL,18,10000,5,3,2,7,3,4,6,2,5,3,2,4,4,5,4,2,5,3,5,6,7,4,4,7,4,6,3,4,7,7,3,4,3,4,2,3,2,3,3,5,Evercrest,23,1,4,3,2,5,6
female,TX,31,65000,5,7,1,5,4,3,2,4,4,7,3,1,3,2,3,7,4,7,3,2,3,4,2,3,2,3,4,1,3,3,5,7,6,2,3,4,2,2,1,1,Seraph Guardians,60,3,1,6,4,2,5
female,OK,43,50000,4,7,6,7,7,6,5,7,3,7,6,7,7,6,4,7,2,4,2,3,4,6,7,3,6,1,5,7,2,2,2,2,3,5,3,4,4,5,4,3,Evercrest,55,5,1,3,6,4,2
female,IL,26,65000,3,7,2,2,1,2,3,2,3,7,4,3,3,4,3,7,5,5,3,3,3,5,1,4,3,2,3,5,3,3,3,5,4,1,1,2,3,6,4,1,Seraph Guardians,40,5,1,6,4,3,2
female,GA,28,56000,6,5,4,6,7,7,7,7,4,5,4,5,5,6,3,5,4,3,4,5,4,3,7,3,4,4,4,6,5,5,2,1,1,4,5,5,5,5,6,3,Warrior Guild,53,5,1,3,6,4,2
female,FL,23,52000,4,3,5,2,6,5,4,4,4,3,3,1,4,5,2,4,3,5,5,3,5,4,2,5,3,4,4,2,5,2,5,2,3,3,2,2,2,4,4,1,Evercrest,42,2,3,4,1,6,5
female,TX,21,18000,3,5,4,5,6,6,7,7,5,5,2,3,5,4,3,4,7,2,7,5,5,6,4,3,6,7,5,5,6,5,3,3,3,6,4,6,6,4,3,5,Seraph Guardians,47,4,2,1,3,6,5
female,TX,32,46000,1,1,6,1,7,7,3,6,4,2,6,6,4,6,3,1,1,3,7,1,1,5,5,3,5,7,6,4,5,1,3,2,1,4,3,3,7,4,5,3,Seraph Guardians,52,5,2,1,4,6,3
